Metric,Value
NII,"₹21,551.92 crore"
PAT,₹144.57 crore
PPOP,₹187.9 crore
Deposits,ND
Advances,"₹319,861.21 crore"
Total Assets,ND
CASA %,52.83%
NIM %,5.33%
CTI %,48.15%
ROA %,2.00%
ROE %,13.30%
GNPA %,1.90%
NNPA %,0.70%
PCR %,ND
CAR %,21.80%
Branches,591
Employees,"73,481"
Customers,1.70 Crore
