Metric,Value
NII,ND
PAT,"₹1,768 crore"
PPOP,"₹11,957 crore"
Deposits,"₹1,172,952 crore"
Advances,"₹1,040,811 crore"
Total Assets,"₹1,609,930 crore"
CASA %,ND
NIM %,10.00%
CTI %,ND
ROA %,1.77%
ROE %,16.89%
GNPA %,ND
NNPA %,0.37%
PCR %,ND
CAR %,20.90%
Branches,"5,865"
Employees,1.04 Lakh
Customers,5.90 Crore
