Metric,Value
NII,ND
PAT,"₹2,439 crore"
PPOP,"₹2,439 crore"
Deposits,ND
Advances,₹270 crore
Total Assets,ND
CASA %,19.06%
NIM %,ND
CTI %,ND
ROA %,ND
ROE %,13.60%
GNPA %,ND
NNPA %,1.97%
PCR %,ND
CAR %,ND
Branches,ND
Employees,ND
Customers,ND
