Metric,Value
NII,ND
PAT,"₹6,589 crore"
PPOP,"₹230,738 crore"
Deposits,"₹821,721 crore"
Advances,"₹275,597 crore"
Total Assets,"₹1,175,178 crore"
CASA %,45.00%
NIM %,3.44%
CTI %,ND
ROA %,ND
ROE %,12.91%
GNPA %,1.43%
NNPA %,0.57%
PCR %,ND
CAR %,20.00%
Branches,ND
Employees,ND
Customers,ND
