Metric,Value
Disbursement,₹850 crore
Deposits,"₹2,714,715 crore"
CASA %,34.8%
NIM %,3.48%
CTI %,40.5%
Pre-Pop,Not Found
PAT,"₹67,347.4 crore"
ROA %,1.91%
ROE %,27%
GNPA %,1.33%
NNPA %,0.43%
PCR %,5%
Customers,"97,000,000"
Branches,"9,455"
Employees,"214,521"
