Metric,Value
NII,"₹72,009.6 crore"
PAT,"₹36,961.36 crore"
PPOP,ND
Deposits,"₹1,559,217 crore"
Advances,"₹599,608 crore"
Total Assets,ND
CASA %,48.20%
NIM %,4.00%
CTI %,36.90%
ROA %,2.03%
ROE %,16.90%
GNPA %,1.17%
NNPA %,0.32%
PCR %,72.69%
CAR %,16.67%
Branches,"6,342"
Employees,1.42 Lakh
Customers,7.10 Crore
