Metric,Value
NII,"₹122,670.1 crore"
PAT,"₹67,347.4 crore"
PPOP,"₹5,026.97 crore"
Deposits,"₹2,714,714.9 crore"
Advances,"₹2,619,608.6 crore"
Total Assets,"₹3,910,199 crore"
CASA %,34.80%
NIM %,3.48%
CTI %,40.50%
ROA %,1.91%
ROE %,14.60%
GNPA %,1.33%
NNPA %,0.43%
PCR %,67.86%
CAR %,19.60%
Branches,"9,455"
Employees,2.15 Lakh
Customers,9.70 Crore
