Metric,Value
Disbursement,Not Found
Deposits,"₹10,809 crore"
CASA %,50%
NIM %,3%
CTI %,50.11%
Pre-Pop,Not Found
PAT,"₹29,045.07 crore"
ROA %,11.03%
ROE %,7.25%
GNPA %,50%
NNPA %,1.04%
PCR %,50%
Customers,"8,090,000,000"
Branches,53
Employees,Not Found
