Metric,Value
NII,ND
PAT,ND
PPOP,ND
Deposits,ND
Advances,ND
Total Assets,ND
CASA %,ND
NIM %,2.10%
CTI %,ND
ROA %,ND
ROE %,17.30%
GNPA %,5.00%
NNPA %,2.30%
PCR %,82.80%
CAR %,18.34%
Branches,ND
Employees,ND
Customers,25 Lakh
